Sucursal,Zona,MAC,FECHA,X,Y,,,,,,,,,,,
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,13.48605589,16.46603782,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,12.04761857,11.82316094,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,601D91F5C2E3,15/03/2021 12:03:00,24.24363397,15.85044953,601D91,60,601D,1D,91,F5,C2,E3,C2E3,F5C2E3,60:1D:91:F5:C2:E3
922784,Conectividad Computo,04D3950742E4,15/03/2021 12:03:00,24.30689726,15.23837725,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,Conectividad Telefonía,34F150053B5E,16/03/2021 14:29:00,17.7116013,8.015235041,34F150,34,34F1,F1,50,05,3B,5E,3B5E,053B5E,34:F1:50:05:3B:5E
922784,Conectividad Computo,348A7B00C2F0,16/03/2021 21:29:00,23.05341971,9.10912277,348A7B,34,348A,8A,7B,00,C2,F0,C2F0,00C2F0,34:8A:7B:00:C2:F0
922784,Conectividad Telefonía,34F150053B5E,16/03/2021 14:29:00,17.86075727,8.045778925,34F150,34,34F1,F1,50,05,3B,5E,3B5E,053B5E,34:F1:50:05:3B:5E
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,12.03193274,11.77253144,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,ITK,348A7B00C2F0,16/03/2021 21:29:00,17.27362148,7.92554634,348A7B,34,348A,8A,7B,00,C2,F0,C2F0,00C2F0,34:8A:7B:00:C2:F0
922784,Conectividad Computo,601D91F5C2E3,15/03/2021 12:03:00,24.43402479,14.00841834,601D91,60,601D,1D,91,F5,C2,E3,C2E3,F5C2E3,60:1D:91:F5:C2:E3
922784,ITK,ACBD70D1339B,16/03/2021 21:32:00,10.40425871,6.518850892,ACBD70,AC,ACBD,BD,70,D1,33,9B,339B,D1339B,AC:BD:70:D1:33:9B
922784,ITK,34F150053B5E,16/03/2021 14:29:00,16.56541258,7.780520626,34F150,34,34F1,F1,50,05,3B,5E,3B5E,053B5E,34:F1:50:05:3B:5E
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,13.52301,16.58531546,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Hogar Muebles,168F172879DD,16/03/2021 21:33:00,23.1123723,26.79540622,168F17,16,168F,8F,17,28,79,DD,79DD,2879DD,16:8F:17:28:79:DD
922784,Conectividad Telefonía,348A7B00C2F0,16/03/2021 21:29:00,18.83046134,8.244353137,348A7B,34,348A,8A,7B,00,C2,F0,C2F0,00C2F0,34:8A:7B:00:C2:F0
922784,Entretenimiento Audio,70CE8C7610C9,16/03/2021 21:35:00,14.67875839,19.18914051,70CE8C,70,70CE,CE,8C,76,10,C9,10C9,7610C9,70:CE:8C:76:10:C9
922784,ITK,348A7B00C2F0,16/03/2021 21:29:00,15.55468109,7.573544895,348A7B,34,348A,8A,7B,00,C2,F0,C2F0,00C2F0,34:8A:7B:00:C2:F0
922784,Conectividad Telefonía,34F150053B5E,16/03/2021 14:29:00,12.95367505,14.74766007,34F150,34,34F1,F1,50,05,3B,5E,3B5E,053B5E,34:F1:50:05:3B:5E
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,12.44808479,13.11575487,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,04D3950742E4,15/03/2021 12:03:00,24.02161565,17.99847681,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,Conectividad Telefonía,20720D39266A,16/03/2021 20:39:00,12.64677719,17.35649924,20720D,20,2072,72,0D,39,26,6A,266A,39266A,20:72:0D:39:26:6A
922784,Conectividad Telefonía,A0D807642DFA,15/03/2021 17:43:00,18.31270397,8.138327738,A0D807,A0,A0D8,D8,07,64,2D,FA,2DFA,642DFA,A0:D8:07:64:2D:FA
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,18.83194144,8.244656229,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Entretenimiento Audio,D077143D5112,16/03/2021 20:43:00,14.7645497,20.59266143,D07714,D0,D077,77,14,3D,51,12,5112,3D5112,D0:77:14:3D:51:12
922784,Conectividad Computo,C08C71FC628F,16/03/2021 20:17:00,24.33690703,14.9480327,C08C71,C0,C08C,8C,71,FC,62,8F,628F,FC628F,C0:8C:71:FC:62:8F
922784,Conectividad Telefonía,20720D39266A,16/03/2021 20:39:00,11.36848556,16.20360964,20720D,20,2072,72,0D,39,26,6A,266A,39266A,20:72:0D:39:26:6A
922784,Conectividad Telefonía,D077143D5112,16/03/2021 20:43:00,19.52916439,13.99168483,D07714,D0,D077,77,14,3D,51,12,5112,3D5112,D0:77:14:3D:51:12
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,16.72883921,7.813986831,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Telefonía,D077143D5112,16/03/2021 20:43:00,19.77104014,13.65658614,D07714,D0,D077,77,14,3D,51,12,5112,3D5112,D0:77:14:3D:51:12
922784,Conectividad Computo,C08C71FC628F,16/03/2021 20:17:00,24.17991836,16.46689805,C08C71,C0,C08C,8C,71,FC,62,8F,628F,FC628F,C0:8C:71:FC:62:8F
922784,Conectividad Computo,04D3950742E4,15/03/2021 12:03:00,24.27455046,15.55133255,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,Conectividad Computo,04D3950742E4,15/03/2021 12:03:00,24.42830128,14.06379329,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,14.80431394,7.419886093,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Banco Asesores,46F34C9E1590,16/03/2021 20:51:00,6.245144478,11.5828748,46F34C,46,46F3,F3,4C,9E,15,90,1590,9E1590,46:F3:4C:9E:15:90
922784,Conectividad Computo,601D91F5C2E3,15/03/2021 12:03:00,24.2127978,16.1487895,601D91,60,601D,1D,91,F5,C2,E3,C2E3,F5C2E3,60:1D:91:F5:C2:E3
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,11.62666153,10.46442833,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Hogar Muebles,46F34C9E1590,16/03/2021 20:53:00,15.12214097,9.039465692,46F34C,46,46F3,F3,4C,9E,15,90,1590,9E1590,46:F3:4C:9E:15:90
922784,Conectividad Computo,304B07F5262D,15/03/2021 12:03:00,24.2125756,16.15093928,304B07,30,304B,4B,07,F5,26,2D,262D,F5262D,30:4B:07:F5:26:2D
922784,Conectividad Computo,04D3950742E4,15/03/2021 12:03:00,24.71489358,11.29101286,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,ITK,34F150053B5E,16/03/2021 14:29:00,15.82685729,7.629280635,34F150,34,34F1,F1,50,05,3B,5E,3B5E,053B5E,34:F1:50:05:3B:5E
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,14.11301887,7.278323962,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,ITK,34791605B43B,16/03/2021 20:54:00,10.40425871,6.518850892,347916,34,3479,79,16,05,B4,3B,B43B,05B43B,34:79:16:05:B4:3B
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,15.74320648,7.612150778,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,34F150053B5E,16/03/2021 14:29:00,24.28031597,15.49555125,34F150,34,34F1,F1,50,05,3B,5E,3B5E,053B5E,34:F1:50:05:3B:5E
922784,Conectividad Computo,601D91F5C2E3,15/03/2021 12:03:00,24.1147065,17.09782285,601D91,60,601D,1D,91,F5,C2,E3,C2E3,F5C2E3,60:1D:91:F5:C2:E3
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,15.94099689,7.652653933,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,ITK,34F150053B5E,16/03/2021 14:29:00,16.07070469,7.679215256,34F150,34,34F1,F1,50,05,3B,5E,3B5E,053B5E,34:F1:50:05:3B:5E
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,17.33763283,17.02786917,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Hogar Muebles,46F34C9E1590,16/03/2021 21:14:00,15.45215099,8.94491226,46F34C,46,46F3,F3,4C,9E,15,90,1590,9E1590,46:F3:4C:9E:15:90
922784,Conectividad Computo,601D91F5C2E3,15/03/2021 12:03:00,24.37362882,14.59274934,601D91,60,601D,1D,91,F5,C2,E3,C2E3,F5C2E3,60:1D:91:F5:C2:E3
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,14.28825278,7.314208039,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,17.17862037,17.24816769,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,16.33189328,7.732700974,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,601D91F5C2E3,15/03/2021 12:03:00,24.11770527,17.06880977,601D91,60,601D,1D,91,F5,C2,E3,C2E3,F5C2E3,60:1D:91:F5:C2:E3
922784,Conectividad Computo,04D3950742E4,15/03/2021 12:03:00,24.08673064,17.3684893,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,11.7724189,10.9348927,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,601D91F5C2E3,15/03/2021 12:03:00,24.30392342,15.26714917,601D91,60,601D,1D,91,F5,C2,E3,C2E3,F5C2E3,60:1D:91:F5:C2:E3
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,19.21342422,7.867244089,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,601D91F5C2E3,15/03/2021 12:03:00,24.44778868,13.87525276,601D91,60,601D,1D,91,F5,C2,E3,C2E3,F5C2E3,60:1D:91:F5:C2:E3
922784,Linea Blanca Lavadoras,04D3950742E4,15/03/2021 12:03:00,23.9662758,18.53388988,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,13.0055466,14.91508704,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Hogar Muebles,9C2EA1B9AA55,14/03/2021 21:08:00,24.55017446,12.88467032,9C2EA1,9C,9C2E,2E,A1,B9,AA,55,AA55,B9AA55,9C:2E:A1:B9:AA:55
922784,Conectividad Computo,304B07F5262D,15/03/2021 12:03:00,24.44778868,13.87525276,304B07,30,304B,4B,07,F5,26,2D,262D,F5262D,30:4B:07:F5:26:2D
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,14.37327788,7.331619323,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,14.7203507,7.402692256,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,304B07F5262D,15/03/2021 12:03:00,24.33381342,14.97796338,304B07,30,304B,4B,07,F5,26,2D,262D,F5262D,30:4B:07:F5:26:2D
922784,Linea Blanca Lavadoras,04D3950742E4,15/03/2021 12:03:00,23.9938033,18.26756124,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
922784,Conectividad Telefonía,304B07F5262D,15/03/2021 12:03:00,17.46682557,8.367674038,304B07,30,304B,4B,07,F5,26,2D,262D,F5262D,30:4B:07:F5:26:2D
922784,Conectividad Computo,601D91F5C2E3,15/03/2021 12:03:00,24.21248703,16.15179624,601D91,60,601D,1D,91,F5,C2,E3,C2E3,F5C2E3,60:1D:91:F5:C2:E3
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,16.31699751,7.729650647,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,13.86075959,7.226666773,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,12.65546257,13.78511285,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,601D91F5C2E3,15/03/2021 12:03:00,24.11286507,17.11563865,601D91,60,601D,1D,91,F5,C2,E3,C2E3,F5C2E3,60:1D:91:F5:C2:E3
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,15.72321135,7.608056212,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,ITK,2446C8CB354C,13/03/2021 22:11:00,16.12217011,7.68975425,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Telefonía,2446C8CB354C,13/03/2021 22:11:00,13.38436918,16.13782132,2446C8,24,2446,46,C8,CB,35,4C,354C,CB354C,24:46:C8:CB:35:4C
922784,Conectividad Computo,04D3950742E4,15/03/2021 12:03:00,24.14909597,16.76510468,04D395,04,04D3,D3,95,07,42,E4,42E4,0742E4,04:D3:95:07:42:E4
