FCSUCURSAL,FCZONA,FCMAC,FDFECHA,FCVALORX,FCVALORY
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,13.61431976,16.88003806
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.44300353,13.09935398
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.65629192,10.560067
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.51362936,13.32731458
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.93415634,7.856031294
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.03639466,7.262632998
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.90028874,11.34762109
2784,Conectividad Computo,24:46:C8:CB:35:4C,13/03/2021 22:11:00,20.34226293,8.553937081
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,13.70955787,7.195703962
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,17.54580646,7.98128388
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.71505231,10.74972925
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.03639466,7.262632998
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.20685797,7.29754016
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.20685797,7.29754016
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.96475131,11.55568841
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.59913353,10.37557556
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.59915118,10.37563253
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.59915118,10.37563253
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.03644383,7.262643067
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.20690487,7.297549764
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.91188883,7.646693237
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.03644383,7.262643067
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,13.39343915,16.16709666
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.49655087,7.561641097
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.09717995,11.98313134
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,13.56965723,16.73587979
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.935317,14.68840538
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.74426569,7.407589523
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.03644383,7.262643067
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.03644383,7.262643067
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.74426569,7.407589523
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.31540648,7.524546681
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.20690487,7.297549764
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.12071177,7.484677458
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.82169731,7.628223984
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.45956626,7.349289298
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.71021308,13.96183232
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.72883921,7.813986831
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.64291188,10.51687993
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.49512193,10.03985496
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.45219505,7.347779835
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.02012262,11.73441163
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.43075826,7.548168206
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.35305858,7.737035165
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.72883921,7.813986831
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.72883921,7.813986831
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.24627371,7.305611643
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.02357949,11.74556944
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.02357949,11.74556944
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.91689565,7.852496681
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.954432,11.52238051
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.16817273,7.699174582
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.44118304,13.09347795
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.72883921,7.813986831
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.5704538,7.371996644
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.40660098,7.338443165
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,17.46616216,7.964974465
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.00132131,7.665007056
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.21029605,12.34823874
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.20341237,12.32602013
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.72883921,7.813986831
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,16.17192753,7.699943484
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.10527787,7.276738775
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.44412508,7.550905439
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.42080243,7.341351312
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.46868441,9.954521979
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.22903344,12.40871784
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.43566169,7.549172323
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,11.7839057,10.97196891
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.24627371,7.305611643
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.40660098,7.338443165
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,15.43566169,7.549172323
2784,Conectividad Telefonía,24:46:C8:CB:35:4C,13/03/2021 22:11:00,12.96792484,14.79365444
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.75956,7.410721463
2784,ITK,24:46:C8:CB:35:4C,13/03/2021 22:11:00,14.5938975,7.376797403
